date,sent,buzz
2020-07-20 00:00:00+00:00,0.2032,14.0
2020-07-21 00:00:00+00:00,0.6563,11.0
2020-07-22 00:00:00+00:00,0.3301,19.0
2020-07-23 00:00:00+00:00,1.2471,29.0
2020-07-24 00:00:00+00:00,1.5068,10.0
2020-07-25 00:00:00+00:00,2.1339,6.0
2020-07-26 00:00:00+00:00,0.9485,1.0
2020-07-27 00:00:00+00:00,0.6379,8.0
2020-07-28 00:00:00+00:00,-0.9937,9.0
2020-07-29 00:00:00+00:00,-0.0355,10.0
2020-07-30 00:00:00+00:00,-0.1649,12.0
2020-07-31 00:00:00+00:00,0.4065,9.0
2020-08-01 00:00:00+00:00,0.2736,6.0
2020-08-02 00:00:00+00:00,-0.1062,1.0
2020-08-03 00:00:00+00:00,1.7302,6.0
2020-08-04 00:00:00+00:00,0.561,21.0
2020-08-05 00:00:00+00:00,0.3658,22.0
2020-08-06 00:00:00+00:00,-0.3731,3.0
2020-08-07 00:00:00+00:00,1.7719,8.0
2020-08-08 00:00:00+00:00,0.0,0.0
2020-08-09 00:00:00+00:00,0.0,0.0
2020-08-10 00:00:00+00:00,1.2847,9.0
2020-08-11 00:00:00+00:00,1.2998,22.0
2020-08-12 00:00:00+00:00,0.8036,8.0
2020-08-13 00:00:00+00:00,-0.1653,12.0
2020-08-14 00:00:00+00:00,1.9268,10.0
2020-08-15 00:00:00+00:00,0.939,1.0
2020-08-16 00:00:00+00:00,1.1586,4.0
2020-08-17 00:00:00+00:00,0.2232,7.0
2020-08-18 00:00:00+00:00,0.5697,18.0
2020-08-19 00:00:00+00:00,-0.3572,5.0
2020-08-20 00:00:00+00:00,0.2863,11.0
2020-08-21 00:00:00+00:00,1.9455,1.0
2020-08-22 00:00:00+00:00,-2.3272,3.0
2020-08-23 00:00:00+00:00,-3.2342,1.0
2020-08-24 00:00:00+00:00,-0.1776,6.0
2020-08-25 00:00:00+00:00,1.1249,5.0
2020-08-26 00:00:00+00:00,0.7475,11.0
2020-08-27 00:00:00+00:00,-1.0318,8.0
2020-08-28 00:00:00+00:00,1.9906,9.0
2020-08-29 00:00:00+00:00,2.017,3.0
2020-08-30 00:00:00+00:00,2.2056,2.0
2020-08-31 00:00:00+00:00,1.9122,5.0
2020-09-01 00:00:00+00:00,0.724,13.0
2020-09-02 00:00:00+00:00,0.3145,13.0
2020-09-03 00:00:00+00:00,-0.0167,18.0
2020-09-04 00:00:00+00:00,1.6799,16.0
2020-09-05 00:00:00+00:00,0.5141,4.0
2020-09-06 00:00:00+00:00,2.3346,1.0
2020-09-07 00:00:00+00:00,2.8425,10.0
2020-09-08 00:00:00+00:00,1.0981,22.0
2020-09-09 00:00:00+00:00,1.2421,5.0
2020-09-10 00:00:00+00:00,0.3923,9.0
2020-09-11 00:00:00+00:00,-0.3782,11.0
2020-09-12 00:00:00+00:00,0.0,0.0
2020-09-13 00:00:00+00:00,2.043,3.0
2020-09-14 00:00:00+00:00,1.101,20.0
2020-09-15 00:00:00+00:00,-0.8288,6.0
2020-09-16 00:00:00+00:00,2.1366,5.0
2020-09-17 00:00:00+00:00,1.667,32.0
2020-09-18 00:00:00+00:00,2.2886,14.0
2020-09-19 00:00:00+00:00,-0.8889,4.0
2020-09-20 00:00:00+00:00,1.3467,3.0
2020-09-21 00:00:00+00:00,1.5847,14.0
2020-09-22 00:00:00+00:00,0.5484,17.0
2020-09-23 00:00:00+00:00,1.1347,9.0
2020-09-24 00:00:00+00:00,0.0051,12.0
2020-09-25 00:00:00+00:00,0.9317,4.0
2020-09-26 00:00:00+00:00,0.2505,2.0
2020-09-27 00:00:00+00:00,2.2636,1.0
2020-09-28 00:00:00+00:00,0.898,6.0
2020-09-29 00:00:00+00:00,1.1426,6.0
2020-09-30 00:00:00+00:00,1.4679,7.0
2020-10-01 00:00:00+00:00,5.2156,3.0
2020-10-02 00:00:00+00:00,1.4661,10.0
2020-10-03 00:00:00+00:00,0.0,0.0
2020-10-04 00:00:00+00:00,0.0,0.0
2020-10-05 00:00:00+00:00,2.2353,12.0
2020-10-06 00:00:00+00:00,1.9084,8.0
2020-10-07 00:00:00+00:00,1.1928,19.0
2020-10-08 00:00:00+00:00,1.0575,13.0
2020-10-09 00:00:00+00:00,0.0,0.0
2020-10-10 00:00:00+00:00,0.0,0.0
2020-10-11 00:00:00+00:00,0.0,0.0
2020-10-12 00:00:00+00:00,1.0153,9.0
2020-10-13 00:00:00+00:00,1.983,7.0
2020-10-14 00:00:00+00:00,-0.5032,6.0
2020-10-15 00:00:00+00:00,0.5267,16.0
2020-10-16 00:00:00+00:00,-0.818,1.0
2020-10-17 00:00:00+00:00,0.0,0.0
2020-10-18 00:00:00+00:00,-1.3468,1.0
2020-10-19 00:00:00+00:00,2.9362,2.0
2020-10-21 00:00:00+00:00,0.0858,16.0
2020-10-22 00:00:00+00:00,-1.25,8.0
2020-10-23 00:00:00+00:00,2.3704,1.0
2020-10-24 00:00:00+00:00,1.4365,1.0
2020-10-25 00:00:00+00:00,0.0,0.0
2020-10-26 00:00:00+00:00,1.0818,5.0
2020-10-27 00:00:00+00:00,0.7734,5.0
2020-10-28 00:00:00+00:00,2.5947,3.0
2020-10-29 00:00:00+00:00,-1.0772,6.0
2020-10-30 00:00:00+00:00,6.0519,1.0
2020-10-31 00:00:00+00:00,0.0,0.0
2020-11-01 00:00:00+00:00,4.5016,1.0
2020-11-02 00:00:00+00:00,0.0,0.0
2020-11-03 00:00:00+00:00,0.3099,3.0
2020-11-04 00:00:00+00:00,0.2372,2.0
2020-11-05 00:00:00+00:00,1.2896,1.0
2020-11-06 00:00:00+00:00,0.0,0.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,0.7326,1.0
2020-11-09 00:00:00+00:00,0.5464,1.0
