date,sent,buzz
2020-07-15 00:00:00+00:00,1.5542,23.0
2020-07-16 00:00:00+00:00,0.6978,58.0
2020-07-17 00:00:00+00:00,1.4183,19.0
2020-07-18 00:00:00+00:00,1.9608,1.0
2020-07-19 00:00:00+00:00,0.4727,5.0
2020-07-20 00:00:00+00:00,2.0408,17.0
2020-07-21 00:00:00+00:00,1.4578,16.0
2020-07-22 00:00:00+00:00,1.8595,29.0
2020-07-23 00:00:00+00:00,2.0889,31.0
2020-07-24 00:00:00+00:00,1.8671,21.0
2020-07-25 00:00:00+00:00,0.9635,4.0
2020-07-26 00:00:00+00:00,1.3208,5.0
2020-07-27 00:00:00+00:00,2.6027,12.0
2020-07-28 00:00:00+00:00,1.2818,28.0
2020-07-29 00:00:00+00:00,1.5273,20.0
2020-07-30 00:00:00+00:00,1.0541,18.0
2020-07-31 00:00:00+00:00,1.6374,17.0
2020-08-01 00:00:00+00:00,-0.0071,4.0
2020-08-02 00:00:00+00:00,3.2969,2.0
2020-08-03 00:00:00+00:00,0.9845,17.0
2020-08-04 00:00:00+00:00,1.644,21.0
2020-08-05 00:00:00+00:00,1.7463,25.0
2020-08-06 00:00:00+00:00,2.0855,24.0
2020-08-07 00:00:00+00:00,2.0349,30.0
2020-08-08 00:00:00+00:00,0.9919,4.0
2020-08-09 00:00:00+00:00,0.56,3.0
2020-08-10 00:00:00+00:00,1.1616,11.0
2020-08-11 00:00:00+00:00,1.761,68.0
2020-08-12 00:00:00+00:00,2.7942,20.0
2020-08-13 00:00:00+00:00,1.5963,34.0
2020-08-14 00:00:00+00:00,1.8586,10.0
2020-08-15 00:00:00+00:00,0.8626,5.0
2020-08-16 00:00:00+00:00,1.1953,5.0
2020-08-17 00:00:00+00:00,0.9014,35.0
2020-08-18 00:00:00+00:00,2.8951,21.0
2020-08-19 00:00:00+00:00,2.3508,22.0
2020-08-20 00:00:00+00:00,2.5424,36.0
2020-08-21 00:00:00+00:00,0.8962,30.0
2020-08-22 00:00:00+00:00,0.7269,9.0
2020-08-23 00:00:00+00:00,0.5247,3.0
2020-08-24 00:00:00+00:00,2.3124,25.0
2020-08-25 00:00:00+00:00,1.7904,30.0
2020-08-26 00:00:00+00:00,1.9629,38.0
2020-08-27 00:00:00+00:00,0.4425,61.0
2020-08-28 00:00:00+00:00,1.1925,121.0
2020-08-29 00:00:00+00:00,1.4191,17.0
2020-08-30 00:00:00+00:00,1.9327,2.0
2020-08-31 00:00:00+00:00,2.0183,11.0
2020-09-01 00:00:00+00:00,1.3537,25.0
2020-09-02 00:00:00+00:00,0.9653,37.0
2020-09-03 00:00:00+00:00,0.2253,39.0
2020-09-04 00:00:00+00:00,0.8659,20.0
2020-09-05 00:00:00+00:00,0.9228,4.0
2020-09-06 00:00:00+00:00,1.1373,4.0
2020-09-07 00:00:00+00:00,2.0523,29.0
2020-09-08 00:00:00+00:00,2.8774,19.0
2020-09-09 00:00:00+00:00,1.3287,49.0
2020-09-10 00:00:00+00:00,2.0844,34.0
2020-09-11 00:00:00+00:00,0.8449,24.0
2020-09-12 00:00:00+00:00,1.8135,7.0
2020-09-13 00:00:00+00:00,1.2751,8.0
2020-09-14 00:00:00+00:00,2.184,28.0
2020-09-15 00:00:00+00:00,1.2469,33.0
2020-09-16 00:00:00+00:00,0.4211,33.0
2020-09-17 00:00:00+00:00,2.2803,17.0
2020-09-18 00:00:00+00:00,1.7385,34.0
2020-09-19 00:00:00+00:00,1.4759,16.0
2020-09-20 00:00:00+00:00,1.1852,5.0
2020-09-21 00:00:00+00:00,0.537,36.0
2020-09-22 00:00:00+00:00,1.9331,30.0
2020-09-23 00:00:00+00:00,1.4424,42.0
2020-09-24 00:00:00+00:00,1.8351,44.0
2020-09-25 00:00:00+00:00,1.1309,34.0
2020-09-26 00:00:00+00:00,0.8545,18.0
2020-09-27 00:00:00+00:00,1.0809,4.0
2020-09-28 00:00:00+00:00,2.046,39.0
2020-09-29 00:00:00+00:00,2.2319,80.0
2020-09-30 00:00:00+00:00,2.1061,33.0
2020-10-01 00:00:00+00:00,1.4647,32.0
2020-10-02 00:00:00+00:00,1.5409,23.0
2020-10-03 00:00:00+00:00,0.7341,2.0
2020-10-04 00:00:00+00:00,3.518,4.0
2020-10-05 00:00:00+00:00,0.4618,29.0
2020-10-06 00:00:00+00:00,1.7098,33.0
2020-10-07 00:00:00+00:00,1.0766,40.0
2020-10-08 00:00:00+00:00,2.4223,15.0
2020-10-09 00:00:00+00:00,1.8037,7.0
2020-10-10 00:00:00+00:00,-0.3231,4.0
2020-10-11 00:00:00+00:00,3.8489,4.0
2020-10-12 00:00:00+00:00,1.0835,12.0
2020-10-13 00:00:00+00:00,1.6724,17.0
2020-10-14 00:00:00+00:00,3.1009,31.0
2020-10-15 00:00:00+00:00,2.1314,15.0
2020-10-16 00:00:00+00:00,3.6508,3.0
2020-10-17 00:00:00+00:00,0.0,0.0
2020-10-18 00:00:00+00:00,1.0444,1.0
2020-10-19 00:00:00+00:00,5.1687,2.0
2020-10-21 00:00:00+00:00,2.1494,14.0
2020-10-22 00:00:00+00:00,2.5131,12.0
2020-10-23 00:00:00+00:00,0.0,0.0
2020-10-24 00:00:00+00:00,3.5443,1.0
2020-10-25 00:00:00+00:00,1.7598,7.0
2020-10-26 00:00:00+00:00,2.2009,10.0
2020-10-27 00:00:00+00:00,2.6326,28.0
2020-10-28 00:00:00+00:00,2.2729,11.0
2020-10-29 00:00:00+00:00,1.3595,11.0
2020-10-30 00:00:00+00:00,1.9948,2.0
2020-10-31 00:00:00+00:00,2.3578,1.0
2020-11-01 00:00:00+00:00,0.8617,2.0
2020-11-02 00:00:00+00:00,2.3978,7.0
2020-11-03 00:00:00+00:00,1.3215,11.0
2020-11-04 00:00:00+00:00,2.2604,7.0
2020-11-05 00:00:00+00:00,5.7535,2.0
2020-11-06 00:00:00+00:00,2.4472,5.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,4.491,1.0
2020-11-09 00:00:00+00:00,1.3569,6.0
2020-11-10 00:00:00+00:00,1.6928,16.0
2020-11-11 00:00:00+00:00,2.8361,12.0
2020-11-12 00:00:00+00:00,2.1677,10.0
2020-11-13 00:00:00+00:00,0.3956,6.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.0,0.0
2020-11-16 00:00:00+00:00,3.4058,10.0
2020-11-17 00:00:00+00:00,3.0178,6.0
2020-11-18 00:00:00+00:00,1.149,32.0
2020-11-19 00:00:00+00:00,1.9515,28.0
2020-11-20 00:00:00+00:00,1.1874,28.0
2020-11-21 00:00:00+00:00,1.7128,7.0
2020-11-22 00:00:00+00:00,2.5966,11.0
2020-11-23 00:00:00+00:00,1.2666,20.0
2020-11-24 00:00:00+00:00,0.777,49.0
2020-11-25 00:00:00+00:00,0.8129,81.0
2020-11-26 00:00:00+00:00,0.8329,23.0
2020-11-27 00:00:00+00:00,0.436,12.0
2020-11-28 00:00:00+00:00,0.7918,7.0
2020-11-29 00:00:00+00:00,-0.5417,3.0
2020-11-30 00:00:00+00:00,1.5344,8.0
2020-12-01 00:00:00+00:00,2.1272,17.0
2020-12-02 00:00:00+00:00,-1.1481,52.0
2020-12-03 00:00:00+00:00,2.3131,42.0
2020-12-04 00:00:00+00:00,2.5897,16.0
2020-12-05 00:00:00+00:00,3.4004,29.0
2020-12-06 00:00:00+00:00,1.2177,14.0
2020-12-07 00:00:00+00:00,1.436,21.0
2020-12-08 00:00:00+00:00,2.4108,25.0
2020-12-09 00:00:00+00:00,2.853,26.0
2020-12-10 00:00:00+00:00,2.438,30.0
2020-12-11 00:00:00+00:00,1.8152,26.0
2020-12-12 00:00:00+00:00,3.445,14.0
2020-12-13 00:00:00+00:00,2.4461,6.0
2020-12-14 00:00:00+00:00,2.2774,27.0
2020-12-15 00:00:00+00:00,2.7587,17.0
2020-12-16 00:00:00+00:00,0.4676,49.0
2020-12-17 00:00:00+00:00,1.0435,26.0
2020-12-18 00:00:00+00:00,1.4331,8.0
2020-12-19 00:00:00+00:00,1.1599,9.0
2020-12-20 00:00:00+00:00,1.7966,5.0
2020-12-21 00:00:00+00:00,0.9145,17.0
2020-12-22 00:00:00+00:00,-3.395,49.0
2020-12-23 00:00:00+00:00,0.7003,23.0
2020-12-24 00:00:00+00:00,-0.5426,50.0
2020-12-25 00:00:00+00:00,-0.106,6.0
2020-12-26 00:00:00+00:00,-1.2037,5.0
2020-12-27 00:00:00+00:00,0.1463,8.0
2020-12-28 00:00:00+00:00,1.3544,6.0
2020-12-29 00:00:00+00:00,1.2967,32.0
2020-12-30 00:00:00+00:00,0.8846,24.0
2020-12-31 00:00:00+00:00,1.7479,9.0
2021-01-01 00:00:00+00:00,2.1002,3.0
2021-01-02 00:00:00+00:00,0.0,0.0
2021-01-03 00:00:00+00:00,1.2545,2.0
2021-01-04 00:00:00+00:00,1.0898,27.0
2021-01-05 00:00:00+00:00,2.637,33.0
2021-01-06 00:00:00+00:00,2.8717,31.0
2021-01-07 00:00:00+00:00,0.8362,17.0
2021-01-08 00:00:00+00:00,-1.8271,13.0
2021-01-09 00:00:00+00:00,-0.205,3.0
2021-01-10 00:00:00+00:00,-4.7141,1.0
2021-01-11 00:00:00+00:00,0.8163,25.0
2021-01-12 00:00:00+00:00,-0.4567,29.0
2021-01-13 00:00:00+00:00,1.4643,36.0
2021-01-14 00:00:00+00:00,1.1357,24.0
2021-01-15 00:00:00+00:00,1.6031,25.0
2021-01-16 00:00:00+00:00,0.7233,2.0
2021-01-17 00:00:00+00:00,1.9078,2.0
2021-01-18 00:00:00+00:00,1.3518,20.0
2021-01-19 00:00:00+00:00,1.4614,34.0
2021-01-20 00:00:00+00:00,1.7451,17.0
2021-01-21 00:00:00+00:00,2.0821,16.0
2021-01-22 00:00:00+00:00,1.7648,35.0
