date,sent,buzz
2020-09-30 00:00:00+00:00,-1.0988,194.0
2020-10-01 00:00:00+00:00,-0.6997,53.0
2020-10-02 00:00:00+00:00,-0.2616,29.0
2020-10-03 00:00:00+00:00,-0.0399,22.0
2020-10-04 00:00:00+00:00,1.8561,3.0
2020-10-05 00:00:00+00:00,-0.4378,9.0
2020-10-06 00:00:00+00:00,-0.4493,3.0
2020-10-07 00:00:00+00:00,1.2758,7.0
2020-10-08 00:00:00+00:00,1.3775,5.0
2020-10-09 00:00:00+00:00,3.0,1.0
2020-10-10 00:00:00+00:00,-2.4472,2.0
2020-10-11 00:00:00+00:00,0.0,0.0
2020-10-12 00:00:00+00:00,0.896,2.0
2020-10-13 00:00:00+00:00,1.466,4.0
2020-10-14 00:00:00+00:00,0.0,2.0
2020-10-15 00:00:00+00:00,1.8332,9.0
2020-10-16 00:00:00+00:00,0.2973,14.0
2020-10-17 00:00:00+00:00,0.0,0.0
2020-10-18 00:00:00+00:00,0.0,0.0
2020-10-19 00:00:00+00:00,0.0,0.0
2020-10-21 00:00:00+00:00,-1.4197,1.0
2020-10-22 00:00:00+00:00,5.0,1.0
2020-10-23 00:00:00+00:00,-1.4383,1.0
2020-10-24 00:00:00+00:00,0.0,0.0
2020-10-25 00:00:00+00:00,0.0,0.0
2020-10-26 00:00:00+00:00,1.0399,7.0
2020-10-27 00:00:00+00:00,2.0583,2.0
2020-10-28 00:00:00+00:00,-1.3163,8.0
2020-10-29 00:00:00+00:00,1.0913,5.0
2020-10-30 00:00:00+00:00,0.0,0.0
2020-10-31 00:00:00+00:00,0.0,0.0
2020-11-01 00:00:00+00:00,0.0,0.0
2020-11-02 00:00:00+00:00,-1.6927,1.0
2020-11-03 00:00:00+00:00,1.7945,3.0
2020-11-04 00:00:00+00:00,0.4437,7.0
2020-11-05 00:00:00+00:00,-1.4937,16.0
2020-11-06 00:00:00+00:00,0.0,0.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,3.8147,1.0
2020-11-09 00:00:00+00:00,0.0,0.0
2020-11-10 00:00:00+00:00,-1.46,2.0
2020-11-11 00:00:00+00:00,-2.5191,3.0
2020-11-12 00:00:00+00:00,-0.3572,5.0
2020-11-13 00:00:00+00:00,0.5085,5.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.0,0.0
2020-11-16 00:00:00+00:00,0.0,0.0
2020-11-17 00:00:00+00:00,-1.1919,2.0
2020-11-18 00:00:00+00:00,-0.9522,19.0
2020-11-19 00:00:00+00:00,0.8035,13.0
2020-11-20 00:00:00+00:00,-0.3036,1.0
2020-11-21 00:00:00+00:00,1.9591,2.0
