date,sent,buzz
2020-07-20 00:00:00+00:00,0.6268,60.0
2020-07-21 00:00:00+00:00,0.6368,119.0
2020-07-22 00:00:00+00:00,-0.4436,101.0
2020-07-23 00:00:00+00:00,0.5871,38.0
2020-07-24 00:00:00+00:00,0.9944,40.0
2020-07-25 00:00:00+00:00,-0.4196,12.0
2020-07-26 00:00:00+00:00,1.782,26.0
2020-07-27 00:00:00+00:00,1.3957,36.0
2020-07-28 00:00:00+00:00,1.0415,57.0
2020-07-29 00:00:00+00:00,0.966,49.0
2020-07-30 00:00:00+00:00,1.219,44.0
2020-07-31 00:00:00+00:00,1.6673,28.0
2020-08-01 00:00:00+00:00,1.4859,12.0
2020-08-02 00:00:00+00:00,1.0415,36.0
2020-08-03 00:00:00+00:00,0.7407,32.0
2020-08-04 00:00:00+00:00,1.6477,53.0
2020-08-05 00:00:00+00:00,0.6054,34.0
2020-08-06 00:00:00+00:00,1.2986,28.0
2020-08-07 00:00:00+00:00,1.0711,31.0
2020-08-08 00:00:00+00:00,1.5034,26.0
2020-08-09 00:00:00+00:00,0.9378,13.0
2020-08-10 00:00:00+00:00,0.9985,34.0
2020-08-11 00:00:00+00:00,1.1622,33.0
2020-08-12 00:00:00+00:00,1.1815,56.0
2020-08-13 00:00:00+00:00,0.9352,71.0
2020-08-14 00:00:00+00:00,1.1039,43.0
2020-08-15 00:00:00+00:00,1.489,18.0
2020-08-16 00:00:00+00:00,1.0995,17.0
2020-08-17 00:00:00+00:00,0.9048,21.0
2020-08-18 00:00:00+00:00,1.4964,48.0
2020-08-19 00:00:00+00:00,1.5184,70.0
2020-08-20 00:00:00+00:00,1.5583,40.0
2020-08-21 00:00:00+00:00,1.3618,68.0
2020-08-22 00:00:00+00:00,0.948,7.0
2020-08-23 00:00:00+00:00,0.8731,8.0
2020-08-24 00:00:00+00:00,1.1939,44.0
2020-08-25 00:00:00+00:00,1.2606,48.0
2020-08-26 00:00:00+00:00,0.9428,54.0
2020-08-27 00:00:00+00:00,1.4725,50.0
2020-08-28 00:00:00+00:00,1.4795,29.0
2020-08-29 00:00:00+00:00,1.3487,11.0
2020-08-30 00:00:00+00:00,1.5275,2.0
2020-08-31 00:00:00+00:00,0.8465,41.0
2020-09-01 00:00:00+00:00,0.8001,41.0
2020-09-02 00:00:00+00:00,1.3864,39.0
2020-09-03 00:00:00+00:00,1.3634,81.0
2020-09-04 00:00:00+00:00,1.6029,29.0
2020-09-05 00:00:00+00:00,0.0911,9.0
2020-09-06 00:00:00+00:00,1.2616,8.0
2020-09-07 00:00:00+00:00,1.2573,44.0
2020-09-08 00:00:00+00:00,1.6047,33.0
2020-09-09 00:00:00+00:00,1.6003,41.0
2020-09-10 00:00:00+00:00,1.2491,34.0
2020-09-11 00:00:00+00:00,1.5981,34.0
2020-09-12 00:00:00+00:00,1.4532,8.0
2020-09-13 00:00:00+00:00,0.2887,12.0
2020-09-14 00:00:00+00:00,1.0023,49.0
2020-09-15 00:00:00+00:00,1.4393,40.0
2020-09-16 00:00:00+00:00,1.2372,41.0
2020-09-17 00:00:00+00:00,1.1181,42.0
2020-09-18 00:00:00+00:00,0.6524,44.0
2020-09-19 00:00:00+00:00,0.8951,18.0
2020-09-20 00:00:00+00:00,1.29,9.0
2020-09-21 00:00:00+00:00,1.3407,69.0
2020-09-22 00:00:00+00:00,1.2794,51.0
2020-09-23 00:00:00+00:00,1.3979,40.0
2020-09-24 00:00:00+00:00,1.2363,36.0
2020-09-25 00:00:00+00:00,1.3111,24.0
2020-09-26 00:00:00+00:00,1.1644,14.0
2020-09-27 00:00:00+00:00,0.3009,9.0
2020-09-28 00:00:00+00:00,0.8458,23.0
2020-09-29 00:00:00+00:00,0.6124,14.0
2020-09-30 00:00:00+00:00,1.0465,21.0
2020-10-01 00:00:00+00:00,1.72,29.0
2020-10-02 00:00:00+00:00,1.79,22.0
2020-10-03 00:00:00+00:00,1.1376,8.0
2020-10-04 00:00:00+00:00,0.0,0.0
2020-10-05 00:00:00+00:00,0.9809,18.0
2020-10-06 00:00:00+00:00,2.2092,17.0
2020-10-07 00:00:00+00:00,1.0753,15.0
2020-10-08 00:00:00+00:00,1.6769,34.0
2020-10-09 00:00:00+00:00,2.0127,3.0
2020-10-10 00:00:00+00:00,1.6749,12.0
2020-10-11 00:00:00+00:00,0.8115,4.0
2020-10-12 00:00:00+00:00,0.0783,21.0
2020-10-13 00:00:00+00:00,1.115,43.0
2020-10-14 00:00:00+00:00,1.8859,26.0
2020-10-15 00:00:00+00:00,0.9913,28.0
2020-10-16 00:00:00+00:00,0.0,0.0
2020-10-17 00:00:00+00:00,1.893,4.0
2020-10-18 00:00:00+00:00,-1.8828,52.0
2020-10-19 00:00:00+00:00,0.297,7.0
2020-10-21 00:00:00+00:00,0.7398,26.0
2020-10-22 00:00:00+00:00,0.8537,25.0
2020-10-23 00:00:00+00:00,1.5459,2.0
2020-10-24 00:00:00+00:00,1.6326,3.0
2020-10-25 00:00:00+00:00,2.0899,3.0
2020-10-26 00:00:00+00:00,1.8498,19.0
2020-10-27 00:00:00+00:00,1.0672,27.0
2020-10-28 00:00:00+00:00,1.3921,34.0
2020-10-29 00:00:00+00:00,1.0935,38.0
2020-10-30 00:00:00+00:00,2.222,2.0
2020-10-31 00:00:00+00:00,0.8396,4.0
2020-11-01 00:00:00+00:00,0.1803,1.0
2020-11-02 00:00:00+00:00,0.7201,7.0
2020-11-03 00:00:00+00:00,2.1141,10.0
2020-11-04 00:00:00+00:00,0.9648,11.0
2020-11-05 00:00:00+00:00,-0.645,25.0
2020-11-06 00:00:00+00:00,-1.8385,7.0
2020-11-07 00:00:00+00:00,1.2966,4.0
2020-11-08 00:00:00+00:00,1.1147,7.0
2020-11-09 00:00:00+00:00,0.8103,20.0
2020-11-10 00:00:00+00:00,1.4024,6.0
2020-11-11 00:00:00+00:00,1.9344,19.0
2020-11-12 00:00:00+00:00,1.5765,13.0
2020-11-13 00:00:00+00:00,1.363,5.0
2020-11-14 00:00:00+00:00,0.0,0.0
2020-11-15 00:00:00+00:00,0.0,0.0
2020-11-16 00:00:00+00:00,2.1824,6.0
2020-11-17 00:00:00+00:00,1.4034,15.0
2020-11-18 00:00:00+00:00,1.5793,23.0
2020-11-19 00:00:00+00:00,1.4917,42.0
