date,sent,buzz
2020-07-16 00:00:00+00:00,-1.8175,20.0
2020-07-17 00:00:00+00:00,-0.3972,25.0
2020-07-18 00:00:00+00:00,-1.4396,5.0
2020-07-19 00:00:00+00:00,0.0795,2.0
2020-07-20 00:00:00+00:00,-0.1615,16.0
2020-07-21 00:00:00+00:00,0.9241,34.0
2020-07-22 00:00:00+00:00,0.7101,13.0
2020-07-23 00:00:00+00:00,-1.9192,30.0
2020-07-24 00:00:00+00:00,-1.623,15.0
2020-07-25 00:00:00+00:00,-0.7087,11.0
2020-07-26 00:00:00+00:00,1.2713,6.0
2020-07-27 00:00:00+00:00,1.176,22.0
2020-07-28 00:00:00+00:00,0.8442,15.0
2020-07-29 00:00:00+00:00,0.5754,25.0
2020-07-30 00:00:00+00:00,1.6149,19.0
2020-07-31 00:00:00+00:00,1.5111,16.0
2020-08-01 00:00:00+00:00,2.5327,8.0
2020-08-02 00:00:00+00:00,-0.5587,1.0
2020-08-03 00:00:00+00:00,1.9692,14.0
2020-08-04 00:00:00+00:00,1.2247,28.0
2020-08-05 00:00:00+00:00,0.8658,12.0
2020-08-06 00:00:00+00:00,-0.3548,19.0
2020-08-07 00:00:00+00:00,0.1423,17.0
2020-08-08 00:00:00+00:00,0.4055,6.0
2020-08-09 00:00:00+00:00,-2.0838,16.0
2020-08-10 00:00:00+00:00,0.8976,22.0
2020-08-11 00:00:00+00:00,0.6423,13.0
2020-08-12 00:00:00+00:00,0.01,15.0
2020-08-13 00:00:00+00:00,0.5826,44.0
2020-08-14 00:00:00+00:00,-1.142,178.0
2020-08-15 00:00:00+00:00,-0.7554,22.0
2020-08-16 00:00:00+00:00,0.192,7.0
2020-08-17 00:00:00+00:00,-0.2054,26.0
2020-08-18 00:00:00+00:00,-2.205,58.0
2020-08-19 00:00:00+00:00,-1.0522,15.0
2020-08-20 00:00:00+00:00,-0.2512,11.0
2020-08-21 00:00:00+00:00,0.4724,14.0
2020-08-22 00:00:00+00:00,-0.4713,9.0
2020-08-23 00:00:00+00:00,-0.6347,2.0
2020-08-24 00:00:00+00:00,0.8248,21.0
2020-08-25 00:00:00+00:00,3.0259,17.0
2020-08-26 00:00:00+00:00,1.2079,21.0
2020-08-27 00:00:00+00:00,0.5754,8.0
2020-08-28 00:00:00+00:00,1.4695,6.0
2020-08-29 00:00:00+00:00,-2.3199,1.0
2020-08-30 00:00:00+00:00,0.0,0.0
2020-08-31 00:00:00+00:00,1.0471,13.0
2020-09-01 00:00:00+00:00,1.4685,10.0
2020-09-02 00:00:00+00:00,0.0552,20.0
2020-09-03 00:00:00+00:00,-0.5237,6.0
2020-09-04 00:00:00+00:00,1.2896,8.0
2020-09-05 00:00:00+00:00,-2.4317,23.0
2020-09-06 00:00:00+00:00,-1.4421,9.0
2020-09-07 00:00:00+00:00,-1.3912,27.0
2020-09-08 00:00:00+00:00,-1.594,51.0
2020-09-09 00:00:00+00:00,0.2304,18.0
2020-09-10 00:00:00+00:00,-0.5651,10.0
2020-09-11 00:00:00+00:00,0.5034,3.0
2020-09-12 00:00:00+00:00,-0.3164,7.0
2020-09-13 00:00:00+00:00,1.3254,6.0
2020-09-14 00:00:00+00:00,0.5879,7.0
2020-09-15 00:00:00+00:00,1.4953,10.0
2020-09-16 00:00:00+00:00,3.3032,16.0
2020-09-17 00:00:00+00:00,-0.9271,29.0
2020-09-18 00:00:00+00:00,-1.3432,6.0
2020-09-19 00:00:00+00:00,-0.1855,3.0
2020-09-20 00:00:00+00:00,-0.5522,7.0
2020-09-21 00:00:00+00:00,1.0697,8.0
2020-09-22 00:00:00+00:00,1.389,12.0
2020-09-23 00:00:00+00:00,1.1589,19.0
2020-09-24 00:00:00+00:00,-0.1382,6.0
2020-09-25 00:00:00+00:00,1.6305,10.0
2020-09-26 00:00:00+00:00,-3.2156,20.0
2020-09-27 00:00:00+00:00,-2.6056,26.0
2020-09-28 00:00:00+00:00,-0.3783,26.0
2020-09-29 00:00:00+00:00,1.7151,10.0
2020-09-30 00:00:00+00:00,0.8155,25.0
2020-10-01 00:00:00+00:00,1.0845,6.0
2020-10-02 00:00:00+00:00,1.6471,17.0
2020-10-03 00:00:00+00:00,1.7426,1.0
2020-10-04 00:00:00+00:00,0.4539,3.0
2020-10-05 00:00:00+00:00,-0.5695,12.0
2020-10-06 00:00:00+00:00,2.2708,20.0
2020-10-07 00:00:00+00:00,3.4404,15.0
2020-10-08 00:00:00+00:00,2.2652,13.0
2020-10-09 00:00:00+00:00,0.616,2.0
2020-10-10 00:00:00+00:00,-0.9537,8.0
2020-10-11 00:00:00+00:00,-0.7238,7.0
2020-10-12 00:00:00+00:00,0.054,20.0
2020-10-13 00:00:00+00:00,0.1546,12.0
2020-10-14 00:00:00+00:00,-0.464,11.0
2020-10-15 00:00:00+00:00,1.0125,9.0
2020-10-16 00:00:00+00:00,0.5889,2.0
2020-10-17 00:00:00+00:00,0.0,0.0
2020-10-18 00:00:00+00:00,1.6257,3.0
2020-10-19 00:00:00+00:00,0.0,0.0
2020-10-21 00:00:00+00:00,2.3912,8.0
2020-10-22 00:00:00+00:00,-0.989,18.0
2020-10-23 00:00:00+00:00,0.5076,1.0
2020-10-24 00:00:00+00:00,-0.3513,1.0
2020-10-25 00:00:00+00:00,-1.3036,1.0
2020-10-26 00:00:00+00:00,1.6719,9.0
2020-10-27 00:00:00+00:00,1.4331,23.0
2020-10-28 00:00:00+00:00,1.0864,14.0
2020-10-29 00:00:00+00:00,0.4283,10.0
2020-10-30 00:00:00+00:00,1.8749,2.0
2020-10-31 00:00:00+00:00,0.0,0.0
2020-11-01 00:00:00+00:00,0.7908,3.0
2020-11-02 00:00:00+00:00,0.6517,8.0
2020-11-03 00:00:00+00:00,1.1976,2.0
2020-11-04 00:00:00+00:00,1.1834,4.0
2020-11-05 00:00:00+00:00,1.5044,3.0
2020-11-06 00:00:00+00:00,-0.1867,2.0
2020-11-07 00:00:00+00:00,0.0,0.0
2020-11-08 00:00:00+00:00,12.8,1.0
2020-11-09 00:00:00+00:00,0.8083,10.0
2020-11-10 00:00:00+00:00,0.8822,4.0
2020-11-11 00:00:00+00:00,1.7531,3.0
2020-11-12 00:00:00+00:00,-1.6717,15.0
2020-11-13 00:00:00+00:00,-2.4,1.0
2020-11-14 00:00:00+00:00,-0.4802,1.0
2020-11-15 00:00:00+00:00,-3.1325,2.0
2020-11-16 00:00:00+00:00,0.3265,6.0
2020-11-17 00:00:00+00:00,0.4193,4.0
2020-11-18 00:00:00+00:00,1.2734,15.0
2020-11-19 00:00:00+00:00,1.166,14.0
2020-11-20 00:00:00+00:00,3.4553,18.0
2020-11-21 00:00:00+00:00,2.2558,9.0
2020-11-22 00:00:00+00:00,2.59,4.0
2020-11-23 00:00:00+00:00,0.8469,24.0
2020-11-24 00:00:00+00:00,1.5462,7.0
2020-11-25 00:00:00+00:00,0.958,10.0
2020-11-26 00:00:00+00:00,4.5599,3.0
2020-11-27 00:00:00+00:00,1.9922,13.0
2020-11-28 00:00:00+00:00,-0.31,2.0
2020-11-29 00:00:00+00:00,-0.9862,7.0
2020-11-30 00:00:00+00:00,-0.68,14.0
2020-12-01 00:00:00+00:00,0.0551,12.0
2020-12-02 00:00:00+00:00,0.553,10.0
2020-12-03 00:00:00+00:00,2.6176,3.0
2020-12-04 00:00:00+00:00,-0.0105,11.0
2020-12-05 00:00:00+00:00,-0.8551,8.0
2020-12-06 00:00:00+00:00,-0.1262,10.0
2020-12-07 00:00:00+00:00,-0.0575,13.0
2020-12-08 00:00:00+00:00,0.6318,11.0
2020-12-09 00:00:00+00:00,2.3567,23.0
2020-12-10 00:00:00+00:00,1.3421,16.0
2020-12-11 00:00:00+00:00,-3.0763,12.0
2020-12-12 00:00:00+00:00,1.6353,6.0
2020-12-13 00:00:00+00:00,2.521,2.0
2020-12-14 00:00:00+00:00,1.3412,7.0
2020-12-15 00:00:00+00:00,2.7239,8.0
2020-12-16 00:00:00+00:00,1.1313,24.0
2020-12-17 00:00:00+00:00,1.1171,16.0
2020-12-18 00:00:00+00:00,0.9947,17.0
2020-12-19 00:00:00+00:00,1.6015,3.0
2020-12-20 00:00:00+00:00,2.0478,1.0
2020-12-21 00:00:00+00:00,1.7318,8.0
2020-12-22 00:00:00+00:00,2.0656,24.0
2020-12-23 00:00:00+00:00,1.3032,20.0
2020-12-24 00:00:00+00:00,0.8053,9.0
2020-12-25 00:00:00+00:00,2.3004,11.0
2020-12-26 00:00:00+00:00,0.0,0.0
2020-12-27 00:00:00+00:00,0.6683,4.0
2020-12-28 00:00:00+00:00,0.4812,10.0
2020-12-29 00:00:00+00:00,0.846,18.0
2020-12-30 00:00:00+00:00,0.0708,11.0
2020-12-31 00:00:00+00:00,1.2445,10.0
2021-01-01 00:00:00+00:00,-0.8858,2.0
2021-01-02 00:00:00+00:00,0.9859,2.0
2021-01-03 00:00:00+00:00,0.3913,5.0
2021-01-04 00:00:00+00:00,1.161,15.0
2021-01-05 00:00:00+00:00,1.498,24.0
2021-01-06 00:00:00+00:00,1.044,19.0
2021-01-07 00:00:00+00:00,0.7815,12.0
2021-01-08 00:00:00+00:00,1.9504,8.0
2021-01-09 00:00:00+00:00,0.9466,7.0
2021-01-10 00:00:00+00:00,0.2668,3.0
2021-01-11 00:00:00+00:00,1.49,11.0
2021-01-12 00:00:00+00:00,1.3683,14.0
2021-01-13 00:00:00+00:00,1.3996,19.0
2021-01-14 00:00:00+00:00,1.0114,21.0
2021-01-15 00:00:00+00:00,0.4684,18.0
2021-01-16 00:00:00+00:00,0.494,4.0
2021-01-17 00:00:00+00:00,2.9313,2.0
2021-01-18 00:00:00+00:00,1.4228,10.0
2021-01-19 00:00:00+00:00,-0.4473,20.0
2021-01-20 00:00:00+00:00,0.6486,33.0
2021-01-21 00:00:00+00:00,1.0497,12.0
2021-01-22 00:00:00+00:00,1.3908,13.0
2021-01-23 00:00:00+00:00,0.0,0.0
2021-01-24 00:00:00+00:00,1.6031,2.0
2021-01-25 00:00:00+00:00,0.699,13.0
2021-01-26 00:00:00+00:00,0.7951,21.0
2021-01-27 00:00:00+00:00,0.761,32.0
2021-01-28 00:00:00+00:00,1.1842,17.0
2021-01-29 00:00:00+00:00,1.522,20.0
2021-01-30 00:00:00+00:00,1.449,5.0
2021-01-31 00:00:00+00:00,0.1474,3.0
2021-02-01 00:00:00+00:00,1.2992,23.0
2021-02-02 00:00:00+00:00,1.7821,11.0
2021-02-03 00:00:00+00:00,0.0263,18.0
2021-02-04 00:00:00+00:00,0.876,22.0
2021-02-05 00:00:00+00:00,1.2386,16.0
2021-02-06 00:00:00+00:00,0.9102,9.0
2021-02-07 00:00:00+00:00,-0.2123,2.0
2021-02-08 00:00:00+00:00,0.1019,16.0
2021-02-09 00:00:00+00:00,1.0651,8.0
2021-02-10 00:00:00+00:00,0.6644,6.0
2021-02-11 00:00:00+00:00,-0.0448,10.0
2021-02-12 00:00:00+00:00,-0.2246,21.0
2021-02-13 00:00:00+00:00,-0.645,7.0
2021-02-14 00:00:00+00:00,-0.6525,1.0
2021-02-15 00:00:00+00:00,0.4237,36.0
2021-02-16 00:00:00+00:00,0.5734,15.0
2021-02-17 00:00:00+00:00,0.8002,15.0
2021-02-18 00:00:00+00:00,0.1152,49.0
2021-02-19 00:00:00+00:00,0.5031,71.0
2021-02-20 00:00:00+00:00,0.382,22.0
2021-02-21 00:00:00+00:00,2.1146,3.0
2021-02-22 00:00:00+00:00,1.3307,33.0
2021-02-23 00:00:00+00:00,1.027,13.0
2021-02-24 00:00:00+00:00,0.1227,22.0
2021-02-25 00:00:00+00:00,0.5575,20.0
2021-02-26 00:00:00+00:00,-0.0457,27.0
2021-02-27 00:00:00+00:00,0.312,12.0
2021-02-28 00:00:00+00:00,0.8685,4.0
2021-03-01 00:00:00+00:00,0.3849,18.0
2021-03-02 00:00:00+00:00,0.0163,18.0
2021-03-03 00:00:00+00:00,0.8707,16.0
2021-03-04 00:00:00+00:00,-0.9442,38.0
2021-03-05 00:00:00+00:00,0.4556,43.0
2021-03-06 00:00:00+00:00,1.9457,6.0
2021-03-07 00:00:00+00:00,1.1058,4.0
2021-03-08 00:00:00+00:00,-0.3198,2.0
2021-03-09 00:00:00+00:00,2.015,24.0
2021-03-10 00:00:00+00:00,0.4824,14.0
2021-03-11 00:00:00+00:00,2.0935,23.0
2021-03-12 00:00:00+00:00,1.1641,11.0
