date,sent,buzz
2024-03-20 00:00:00+00:00,0.4096,43.0
2024-03-21 00:00:00+00:00,0.4149,35.0
2024-03-22 00:00:00+00:00,0.9288,13.0
2024-03-23 00:00:00+00:00,0.2607,7.0
2024-03-24 00:00:00+00:00,0.0,1.0
2024-03-25 00:00:00+00:00,-0.0137,10.0
2024-03-26 00:00:00+00:00,0.2349,4.0
2024-03-27 00:00:00+00:00,1.4684,4.0
2024-03-28 00:00:00+00:00,0.5031,9.0
2024-03-29 00:00:00+00:00,1.1321,6.0
2024-03-30 00:00:00+00:00,4.2768,2.0
2024-03-31 00:00:00+00:00,1.6484,1.0
2024-04-01 00:00:00+00:00,-0.2423,6.0
2024-04-02 00:00:00+00:00,0.8103,12.0
2024-04-03 00:00:00+00:00,-0.9895,14.0
2024-04-04 00:00:00+00:00,-1.4706,1.0
2024-04-05 00:00:00+00:00,1.8151,6.0
2024-04-06 00:00:00+00:00,0.0,0.0
2024-04-07 00:00:00+00:00,0.0,0.0
2024-04-08 00:00:00+00:00,1.2612,5.0
2024-04-09 00:00:00+00:00,1.5586,4.0
2024-04-10 00:00:00+00:00,1.4811,3.0
2024-04-11 00:00:00+00:00,1.5749,3.0
2024-04-12 00:00:00+00:00,0.4072,1.0
2024-04-13 00:00:00+00:00,0.0,0.0
2024-04-14 00:00:00+00:00,1.7544,1.0
2024-04-15 00:00:00+00:00,0.0839,6.0
2024-04-16 00:00:00+00:00,0.9378,6.0
2024-04-17 00:00:00+00:00,0.9042,4.0
2024-04-18 00:00:00+00:00,1.8842,2.0
2024-04-19 00:00:00+00:00,-0.1575,3.0
2024-04-20 00:00:00+00:00,1.4679,1.0
2024-04-21 00:00:00+00:00,0.0,0.0
2024-04-22 00:00:00+00:00,0.5163,2.0
2024-04-23 00:00:00+00:00,2.9276,1.0
2024-04-24 00:00:00+00:00,0.3287,7.0
2024-04-25 00:00:00+00:00,0.5492,9.0
2024-04-26 00:00:00+00:00,0.431,1.0
2024-04-27 00:00:00+00:00,-0.8902,1.0
2024-04-28 00:00:00+00:00,0.0,0.0
2024-04-29 00:00:00+00:00,-0.2852,4.0
2024-04-30 00:00:00+00:00,5.8824,1.0
2024-05-01 00:00:00+00:00,0.7709,5.0
2024-05-02 00:00:00+00:00,0.0,0.0
2024-05-03 00:00:00+00:00,1.1264,2.0
2024-05-04 00:00:00+00:00,1.523,2.0
2024-05-05 00:00:00+00:00,0.5676,1.0
2024-05-06 00:00:00+00:00,1.8908,1.0
2024-05-07 00:00:00+00:00,-0.3643,4.0
2024-05-08 00:00:00+00:00,0.808,6.0
2024-05-09 00:00:00+00:00,0.1735,4.0
2024-05-10 00:00:00+00:00,1.2264,3.0
2024-05-11 00:00:00+00:00,0.0,0.0
2024-05-12 00:00:00+00:00,0.0,0.0
2024-05-13 00:00:00+00:00,0.0,0.0
2024-05-14 00:00:00+00:00,0.0,0.0
2024-05-15 00:00:00+00:00,0.7212,1.0
2024-05-16 00:00:00+00:00,0.0,0.0
2024-05-17 00:00:00+00:00,0.0,0.0
2024-05-18 00:00:00+00:00,1.6736,1.0
2024-05-19 00:00:00+00:00,0.0,0.0
2024-05-20 00:00:00+00:00,1.9521,4.0
2024-05-21 00:00:00+00:00,0.0,0.0
2024-05-22 00:00:00+00:00,4.7714,1.0
2024-05-23 00:00:00+00:00,3.4672,3.0
2024-05-24 00:00:00+00:00,0.0,1.0
2024-05-25 00:00:00+00:00,0.0,0.0
2024-05-26 00:00:00+00:00,0.0,0.0
2024-05-27 00:00:00+00:00,0.0,0.0
2024-05-28 00:00:00+00:00,2.3891,1.0
2024-05-29 00:00:00+00:00,4.5802,1.0
2024-05-30 00:00:00+00:00,0.0,0.0
2024-05-31 00:00:00+00:00,0.7014,2.0
2024-06-01 00:00:00+00:00,0.0,0.0
2024-06-02 00:00:00+00:00,0.0,0.0
2024-06-03 00:00:00+00:00,0.0,0.0
2024-06-04 00:00:00+00:00,0.0,0.0
2024-06-05 00:00:00+00:00,0.0,0.0
2024-06-06 00:00:00+00:00,0.0,0.0
2024-06-07 00:00:00+00:00,1.5199,2.0
2024-06-08 00:00:00+00:00,0.0,0.0
2024-06-09 00:00:00+00:00,0.0,0.0
2024-06-10 00:00:00+00:00,3.9946,1.0
2024-06-11 00:00:00+00:00,2.1246,4.0
2024-06-12 00:00:00+00:00,0.0,0.0
2024-06-13 00:00:00+00:00,0.0,0.0
2024-06-14 00:00:00+00:00,2.8015,1.0
2024-06-15 00:00:00+00:00,0.0,0.0
2024-06-16 00:00:00+00:00,0.0,0.0
2024-06-17 00:00:00+00:00,0.0,0.0
2024-06-18 00:00:00+00:00,0.0,0.0
2024-06-19 00:00:00+00:00,0.0,0.0
2024-06-20 00:00:00+00:00,2.9091,4.0
2024-06-21 00:00:00+00:00,-0.8681,1.0
2024-06-22 00:00:00+00:00,0.0,0.0
2024-06-23 00:00:00+00:00,2.5225,1.0
2024-06-24 00:00:00+00:00,1.4831,4.0
2024-06-25 00:00:00+00:00,1.8735,3.0
2024-06-26 00:00:00+00:00,0.0,0.0
2024-06-27 00:00:00+00:00,0.9587,1.0
2024-06-28 00:00:00+00:00,1.8829,8.0
2024-06-29 00:00:00+00:00,0.0,0.0
2024-06-30 00:00:00+00:00,0.0,0.0
2024-07-01 00:00:00+00:00,0.9744,1.0
2024-07-02 00:00:00+00:00,2.5031,1.0
2024-07-03 00:00:00+00:00,0.0,0.0
2024-07-04 00:00:00+00:00,2.0833,1.0
2024-07-05 00:00:00+00:00,0.0,0.0
2024-07-06 00:00:00+00:00,1.8444,3.0
2024-07-07 00:00:00+00:00,0.0,0.0
2024-07-08 00:00:00+00:00,0.0,0.0
2024-07-09 00:00:00+00:00,2.7955,2.0
2024-07-10 00:00:00+00:00,1.9461,1.0
2024-07-11 00:00:00+00:00,0.0,0.0
2024-07-12 00:00:00+00:00,2.963,1.0
2024-07-13 00:00:00+00:00,0.2632,1.0
2024-07-14 00:00:00+00:00,3.5669,1.0
2024-07-15 00:00:00+00:00,2.1382,1.0
2024-07-16 00:00:00+00:00,0.0,0.0
2024-07-17 00:00:00+00:00,0.0,0.0
2024-07-18 00:00:00+00:00,0.0,0.0
2024-07-19 00:00:00+00:00,1.0627,2.0
2024-07-20 00:00:00+00:00,0.0,0.0
2024-07-21 00:00:00+00:00,1.6,1.0
2024-07-22 00:00:00+00:00,0.0,0.0
2024-07-23 00:00:00+00:00,0.0,0.0
2024-07-24 00:00:00+00:00,0.0,0.0
2024-07-25 00:00:00+00:00,0.0,0.0
2024-07-26 00:00:00+00:00,-0.7463,1.0
2024-07-27 00:00:00+00:00,0.0,0.0
2024-07-28 00:00:00+00:00,1.9001,3.0
2024-07-29 00:00:00+00:00,0.0,0.0
2024-07-30 00:00:00+00:00,0.0,0.0
2024-07-31 00:00:00+00:00,0.0,0.0
2024-08-01 00:00:00+00:00,0.0,0.0
2024-08-02 00:00:00+00:00,0.0,0.0
2024-08-03 00:00:00+00:00,0.0,0.0
2024-08-04 00:00:00+00:00,0.1559,1.0
2024-08-05 00:00:00+00:00,0.0,0.0
2024-08-06 00:00:00+00:00,1.5986,1.0
2024-08-07 00:00:00+00:00,2.9251,3.0
2024-08-08 00:00:00+00:00,1.5146,13.0
2024-08-09 00:00:00+00:00,1.457,4.0
2024-08-10 00:00:00+00:00,0.0,0.0
2024-08-11 00:00:00+00:00,0.0,0.0
2024-08-12 00:00:00+00:00,0.0,0.0
2024-08-13 00:00:00+00:00,0.0,0.0
2024-08-14 00:00:00+00:00,-1.2931,2.0
2024-08-15 00:00:00+00:00,-0.3356,3.0
2024-08-16 00:00:00+00:00,2.1874,3.0
2024-08-17 00:00:00+00:00,0.0,0.0
2024-08-18 00:00:00+00:00,0.0,0.0
2024-08-19 00:00:00+00:00,3.0271,1.0
2024-08-20 00:00:00+00:00,0.0,0.0
2024-08-21 00:00:00+00:00,1.8042,3.0
2024-08-22 00:00:00+00:00,-1.9668,2.0
2024-08-23 00:00:00+00:00,0.0,0.0
2024-08-24 00:00:00+00:00,0.0,0.0
2024-08-25 00:00:00+00:00,1.1811,2.0
2024-08-26 00:00:00+00:00,0.0,0.0
2024-08-27 00:00:00+00:00,0.0,0.0
2024-08-28 00:00:00+00:00,1.5915,1.0
2024-08-29 00:00:00+00:00,1.9954,5.0
2024-08-30 00:00:00+00:00,1.5625,1.0
2024-08-31 00:00:00+00:00,0.0,0.0
2024-09-01 00:00:00+00:00,1.5544,1.0
2024-09-02 00:00:00+00:00,0.0,0.0
2024-09-03 00:00:00+00:00,0.5256,1.0
2024-09-04 00:00:00+00:00,1.2874,4.0
2024-09-05 00:00:00+00:00,3.6364,1.0
2024-09-06 00:00:00+00:00,1.171,3.0
2024-09-07 00:00:00+00:00,0.0,0.0
2024-09-08 00:00:00+00:00,1.5771,2.0
2024-09-09 00:00:00+00:00,0.0,0.0
2024-09-10 00:00:00+00:00,0.0,0.0
2024-09-11 00:00:00+00:00,0.0,0.0
2024-09-12 00:00:00+00:00,4.8488,3.0
2024-09-13 00:00:00+00:00,1.6265,3.0
2024-09-14 00:00:00+00:00,0.0,0.0
2024-09-15 00:00:00+00:00,0.0,0.0
2024-09-16 00:00:00+00:00,0.0,0.0
2024-09-17 00:00:00+00:00,0.0,0.0
2024-09-18 00:00:00+00:00,0.0,0.0
2024-09-19 00:00:00+00:00,1.4009,1.0
2024-09-20 00:00:00+00:00,0.0,0.0
2024-09-21 00:00:00+00:00,0.0,0.0
2024-09-22 00:00:00+00:00,0.0,0.0
2024-09-23 00:00:00+00:00,1.5847,2.0
2024-09-24 00:00:00+00:00,1.4917,3.0
2024-09-25 00:00:00+00:00,0.0,0.0
2024-09-26 00:00:00+00:00,0.0,0.0
2024-09-27 00:00:00+00:00,1.6162,1.0
2024-09-28 00:00:00+00:00,0.0,0.0
2024-09-29 00:00:00+00:00,0.0,0.0
2024-09-30 00:00:00+00:00,0.8762,1.0
2024-10-01 00:00:00+00:00,0.0,0.0
2024-10-02 00:00:00+00:00,0.0,1.0
2024-10-03 00:00:00+00:00,0.0,0.0
2024-10-04 00:00:00+00:00,0.0,1.0
2024-10-05 00:00:00+00:00,0.0,0.0
2024-10-06 00:00:00+00:00,0.0,0.0
2024-10-07 00:00:00+00:00,1.9748,2.0
2024-10-08 00:00:00+00:00,3.4411,2.0
2024-10-09 00:00:00+00:00,1.9774,1.0
2024-10-10 00:00:00+00:00,0.0,0.0
2024-10-11 00:00:00+00:00,1.1436,4.0
2024-10-12 00:00:00+00:00,1.8519,1.0
2024-10-13 00:00:00+00:00,1.4808,2.0
2024-10-14 00:00:00+00:00,0.0,0.0
2024-10-15 00:00:00+00:00,1.2059,4.0
2024-10-16 00:00:00+00:00,0.0,0.0
2024-10-17 00:00:00+00:00,2.5063,2.0
2024-10-18 00:00:00+00:00,0.0,0.0
2024-10-19 00:00:00+00:00,0.0,0.0
2024-10-20 00:00:00+00:00,0.0,0.0
2024-10-21 00:00:00+00:00,0.0,0.0
2024-10-22 00:00:00+00:00,0.0,0.0
2024-10-23 00:00:00+00:00,4.0,1.0
2024-10-24 00:00:00+00:00,1.6068,2.0
2024-10-25 00:00:00+00:00,-0.8871,3.0
2024-10-26 00:00:00+00:00,0.0,0.0
2024-10-27 00:00:00+00:00,1.7382,1.0
2024-10-28 00:00:00+00:00,1.4241,1.0
2024-10-29 00:00:00+00:00,0.0,0.0
2024-10-30 00:00:00+00:00,0.8813,2.0
2024-10-31 00:00:00+00:00,0.0,0.0
2024-11-01 00:00:00+00:00,0.2716,2.0
2024-11-02 00:00:00+00:00,1.4475,1.0
2024-11-03 00:00:00+00:00,0.0,0.0
2024-11-04 00:00:00+00:00,0.0623,4.0
2024-11-05 00:00:00+00:00,1.026,7.0
2024-11-06 00:00:00+00:00,0.6897,2.0
2024-11-07 00:00:00+00:00,0.0,0.0
2024-11-08 00:00:00+00:00,2.0202,1.0
2024-11-09 00:00:00+00:00,0.0,0.0
2024-11-10 00:00:00+00:00,0.0,0.0
2024-11-11 00:00:00+00:00,0.0,0.0
2024-11-12 00:00:00+00:00,0.0,0.0
2024-11-13 00:00:00+00:00,0.0,0.0
2024-11-14 00:00:00+00:00,2.1617,2.0
2024-11-15 00:00:00+00:00,-0.7053,1.0
2024-11-16 00:00:00+00:00,0.0,0.0
2024-11-17 00:00:00+00:00,0.0,0.0
2024-11-18 00:00:00+00:00,0.8939,2.0
2024-11-19 00:00:00+00:00,1.6478,1.0
2024-11-20 00:00:00+00:00,1.6569,1.0
2024-11-21 00:00:00+00:00,1.1293,2.0
2024-11-22 00:00:00+00:00,2.2558,4.0
2024-11-23 00:00:00+00:00,0.0,0.0
2024-11-24 00:00:00+00:00,0.0,0.0
2024-11-25 00:00:00+00:00,0.0,0.0
2024-11-26 00:00:00+00:00,1.3221,1.0
2024-11-27 00:00:00+00:00,1.8405,1.0
2024-11-28 00:00:00+00:00,1.4652,1.0
2024-11-29 00:00:00+00:00,0.0,0.0
2024-11-30 00:00:00+00:00,1.2249,1.0
2024-12-01 00:00:00+00:00,0.0,0.0
2024-12-02 00:00:00+00:00,0.0,0.0
2024-12-03 00:00:00+00:00,1.4315,3.0
2024-12-04 00:00:00+00:00,2.6751,3.0
2024-12-05 00:00:00+00:00,1.5287,2.0
2024-12-06 00:00:00+00:00,0.2792,3.0
2024-12-07 00:00:00+00:00,0.0,0.0
2024-12-08 00:00:00+00:00,0.0,0.0
2024-12-09 00:00:00+00:00,-0.7673,1.0
2024-12-10 00:00:00+00:00,0.0,0.0
2024-12-11 00:00:00+00:00,4.6118,3.0
2024-12-12 00:00:00+00:00,0.4791,2.0
2024-12-13 00:00:00+00:00,-1.5611,2.0
2024-12-14 00:00:00+00:00,0.0,0.0
2024-12-15 00:00:00+00:00,0.0,0.0
2024-12-16 00:00:00+00:00,1.0086,2.0
2024-12-17 00:00:00+00:00,3.6563,1.0
2024-12-18 00:00:00+00:00,0.6092,2.0
2024-12-19 00:00:00+00:00,0.0,0.0
2024-12-20 00:00:00+00:00,0.0,0.0
2024-12-21 00:00:00+00:00,0.0,0.0
2024-12-22 00:00:00+00:00,0.0,0.0
2024-12-23 00:00:00+00:00,2.4183,1.0
2024-12-24 00:00:00+00:00,1.7,1.0
2024-12-25 00:00:00+00:00,0.0,0.0
2024-12-26 00:00:00+00:00,1.3129,3.0
2024-12-27 00:00:00+00:00,0.0,0.0
2024-12-28 00:00:00+00:00,0.0,0.0
2024-12-29 00:00:00+00:00,5.1392,1.0
2024-12-30 00:00:00+00:00,0.0,0.0
2024-12-31 00:00:00+00:00,-0.3003,1.0
2025-01-01 00:00:00+00:00,0.57,1.0
2025-01-02 00:00:00+00:00,-1.5523,1.0
2025-01-03 00:00:00+00:00,0.5889,2.0
2025-01-04 00:00:00+00:00,0.0,0.0
2025-01-05 00:00:00+00:00,0.0,0.0
2025-01-06 00:00:00+00:00,0.0,0.0
2025-01-07 00:00:00+00:00,1.4463,1.0
2025-01-08 00:00:00+00:00,-0.1513,1.0
2025-01-09 00:00:00+00:00,2.4417,1.0
2025-01-10 00:00:00+00:00,2.6022,1.0
2025-01-11 00:00:00+00:00,0.0,0.0
2025-01-12 00:00:00+00:00,0.0,0.0
2025-01-13 00:00:00+00:00,0.0,0.0
2025-01-14 00:00:00+00:00,5.314,1.0
2025-01-15 00:00:00+00:00,0.0,0.0
2025-01-16 00:00:00+00:00,0.0,0.0
2025-01-17 00:00:00+00:00,2.4876,1.0
2025-01-18 00:00:00+00:00,0.0,0.0
2025-01-19 00:00:00+00:00,0.0,0.0
2025-01-20 00:00:00+00:00,1.5054,1.0
2025-01-21 00:00:00+00:00,0.0,0.0
2025-01-22 00:00:00+00:00,-1.5276,2.0
2025-01-23 00:00:00+00:00,2.9281,1.0
2025-01-24 00:00:00+00:00,1.5112,2.0
2025-01-25 00:00:00+00:00,1.0239,1.0
2025-01-26 00:00:00+00:00,0.0,0.0
2025-01-27 00:00:00+00:00,0.0,0.0
2025-01-28 00:00:00+00:00,0.0162,5.0
2025-01-29 00:00:00+00:00,0.2181,1.0
2025-01-30 00:00:00+00:00,1.5479,3.0
2025-01-31 00:00:00+00:00,-0.5666,1.0
2025-02-01 00:00:00+00:00,0.3429,1.0
2025-02-02 00:00:00+00:00,0.0,0.0
2025-02-03 00:00:00+00:00,2.2748,2.0
2025-02-04 00:00:00+00:00,0.0,0.0
2025-02-05 00:00:00+00:00,1.459,1.0
2025-02-06 00:00:00+00:00,0.0,0.0
2025-02-07 00:00:00+00:00,1.8698,1.0
2025-02-08 00:00:00+00:00,4.905,2.0
2025-02-09 00:00:00+00:00,-0.8649,1.0
2025-02-10 00:00:00+00:00,1.2558,3.0
2025-02-11 00:00:00+00:00,-0.1389,4.0
2025-02-12 00:00:00+00:00,1.6243,4.0
2025-02-13 00:00:00+00:00,1.8407,2.0
2025-02-14 00:00:00+00:00,1.5344,2.0
2025-02-15 00:00:00+00:00,0.0,0.0
2025-02-16 00:00:00+00:00,0.0,0.0
2025-02-17 00:00:00+00:00,-1.1742,1.0
2025-02-18 00:00:00+00:00,0.0,0.0
2025-02-19 00:00:00+00:00,0.0,0.0
2025-02-20 00:00:00+00:00,0.0,0.0
2025-02-21 00:00:00+00:00,1.3016,4.0
2025-02-22 00:00:00+00:00,0.0,0.0
2025-02-23 00:00:00+00:00,2.0191,1.0
2025-02-24 00:00:00+00:00,0.0,0.0
2025-02-25 00:00:00+00:00,5.3279,1.0
2025-02-26 00:00:00+00:00,0.0,0.0
2025-02-27 00:00:00+00:00,2.7265,1.0
2025-02-28 00:00:00+00:00,0.6552,1.0
2025-03-01 00:00:00+00:00,2.0417,2.0
2025-03-02 00:00:00+00:00,0.0,0.0
2025-03-03 00:00:00+00:00,1.0947,3.0
2025-03-04 00:00:00+00:00,0.0,0.0
2025-03-05 00:00:00+00:00,-1.2272,2.0
2025-03-06 00:00:00+00:00,0.0,0.0
2025-03-07 00:00:00+00:00,0.0,0.0
2025-03-08 00:00:00+00:00,1.6615,2.0
2025-03-09 00:00:00+00:00,0.0,0.0
2025-03-10 00:00:00+00:00,0.0,0.0
2025-03-11 00:00:00+00:00,0.873,2.0
2025-03-12 00:00:00+00:00,1.9664,6.0
2025-03-13 00:00:00+00:00,0.8886,3.0
2025-03-14 00:00:00+00:00,2.6814,3.0
2025-03-15 00:00:00+00:00,0.0,0.0
2025-03-16 00:00:00+00:00,1.3514,1.0
2025-03-17 00:00:00+00:00,0.0,0.0
2025-03-18 00:00:00+00:00,3.8263,3.0
2025-03-19 00:00:00+00:00,0.0,0.0
2025-03-20 00:00:00+00:00,0.0,0.0
2025-03-21 00:00:00+00:00,2.0633,1.0
2025-03-22 00:00:00+00:00,0.1494,1.0
2025-03-23 00:00:00+00:00,-0.3782,2.0
2025-03-24 00:00:00+00:00,0.0,0.0
2025-03-25 00:00:00+00:00,1.9651,1.0
2025-03-26 00:00:00+00:00,2.7488,1.0
2025-03-27 00:00:00+00:00,0.0,0.0
2025-03-28 00:00:00+00:00,0.2693,5.0
2025-03-29 00:00:00+00:00,1.8487,2.0
2025-03-30 00:00:00+00:00,0.0,0.0
2025-03-31 00:00:00+00:00,0.8024,2.0
2025-04-01 00:00:00+00:00,1.3862,3.0
2025-04-02 00:00:00+00:00,0.0,0.0
2025-04-03 00:00:00+00:00,0.0,0.0
2025-04-04 00:00:00+00:00,0.0,0.0
2025-04-05 00:00:00+00:00,0.0,0.0
2025-04-06 00:00:00+00:00,0.0,0.0
2025-04-07 00:00:00+00:00,0.0,0.0
2025-04-08 00:00:00+00:00,-0.5062,2.0
2025-04-09 00:00:00+00:00,0.0,0.0
2025-04-10 00:00:00+00:00,0.0,0.0
2025-04-11 00:00:00+00:00,0.0,0.0
2025-04-12 00:00:00+00:00,1.7486,2.0
2025-04-13 00:00:00+00:00,0.0,0.0
2025-04-14 00:00:00+00:00,0.0,0.0
2025-04-15 00:00:00+00:00,1.6749,1.0
2025-04-16 00:00:00+00:00,0.0,0.0
2025-04-17 00:00:00+00:00,2.0214,1.0
2025-04-18 00:00:00+00:00,0.0,0.0
2025-04-19 00:00:00+00:00,0.0,0.0
2025-04-20 00:00:00+00:00,4.1868,1.0
2025-04-21 00:00:00+00:00,0.0,0.0
2025-04-22 00:00:00+00:00,0.0,0.0
2025-04-23 00:00:00+00:00,0.0,0.0
2025-04-24 00:00:00+00:00,0.0,0.0
2025-04-25 00:00:00+00:00,0.0,0.0
2025-04-26 00:00:00+00:00,0.0,0.0
2025-04-27 00:00:00+00:00,0.0,0.0
2025-04-28 00:00:00+00:00,0.0,0.0
2025-04-29 00:00:00+00:00,0.0,0.0
2025-04-30 00:00:00+00:00,-0.1874,1.0
2025-05-01 00:00:00+00:00,6.1033,1.0
2025-05-02 00:00:00+00:00,0.0,0.0
2025-05-03 00:00:00+00:00,0.0,0.0
2025-05-04 00:00:00+00:00,0.0626,4.0
2025-05-05 00:00:00+00:00,0.0,0.0
2025-05-06 00:00:00+00:00,1.3375,4.0
2025-05-07 00:00:00+00:00,3.6689,3.0
2025-05-08 00:00:00+00:00,0.0,0.0
2025-05-09 00:00:00+00:00,1.3774,1.0
2025-05-10 00:00:00+00:00,0.0,0.0
2025-05-11 00:00:00+00:00,0.0,0.0
2025-05-12 00:00:00+00:00,1.6857,2.0
2025-05-13 00:00:00+00:00,-0.1078,1.0
2025-05-14 00:00:00+00:00,0.0,0.0
2025-05-15 00:00:00+00:00,-0.4555,4.0
2025-05-16 00:00:00+00:00,0.0,0.0
2025-05-17 00:00:00+00:00,0.0,0.0
2025-05-18 00:00:00+00:00,1.432,1.0
2025-05-19 00:00:00+00:00,2.1541,7.0
2025-05-20 00:00:00+00:00,3.3572,4.0
2025-05-21 00:00:00+00:00,0.0,0.0
2025-05-22 00:00:00+00:00,0.0,0.0
2025-05-23 00:00:00+00:00,2.3371,3.0
2025-05-24 00:00:00+00:00,1.9465,1.0
2025-05-25 00:00:00+00:00,0.0,0.0
2025-05-26 00:00:00+00:00,0.0,0.0
2025-05-27 00:00:00+00:00,0.0,0.0
2025-05-28 00:00:00+00:00,-1.6129,2.0
2025-05-29 00:00:00+00:00,1.3283,1.0
2025-05-30 00:00:00+00:00,3.5851,1.0
2025-05-31 00:00:00+00:00,0.0,0.0
2025-06-01 00:00:00+00:00,0.0,0.0
2025-06-02 00:00:00+00:00,0.0,0.0
2025-06-03 00:00:00+00:00,4.773,1.0
2025-06-04 00:00:00+00:00,0.0,0.0
2025-06-05 00:00:00+00:00,6.4516,1.0
2025-06-06 00:00:00+00:00,0.2669,3.0
2025-06-07 00:00:00+00:00,0.0,0.0
2025-06-08 00:00:00+00:00,0.0,0.0
2025-06-09 00:00:00+00:00,0.0,0.0
2025-06-10 00:00:00+00:00,0.0,0.0
2025-06-11 00:00:00+00:00,1.9523,1.0
2025-06-12 00:00:00+00:00,4.9116,1.0
2025-06-13 00:00:00+00:00,4.6579,1.0
2025-06-14 00:00:00+00:00,-1.5021,1.0
2025-07-02 00:00:00+00:00,0.0,0.0
2025-07-03 00:00:00+00:00,0.0,0.0
